Pallet: "claims", Extrinsic: "claim", Lowest values: [], Highest values: [], Steps: [100], Repeat: 100
u,extrinsic_time,storage_root_time
40,42666000,9219000
40,33754000,6839000
40,30733000,7125000
40,32344000,6845000
40,28514000,7024000
40,28571000,6834000
40,29668000,6950000
40,36454000,8713000
40,36670000,8468000
40,37313000,8863000
40,34769000,6909000
40,28694000,6769000
40,30683000,7305000
40,30106000,7211000
40,30760000,6782000
40,29064000,6910000
40,29258000,6970000
40,28451000,6992000
40,31123000,6616000
40,29962000,6845000
40,31353000,7166000
40,34196000,7670000
40,33483000,7019000
40,34398000,7323000
40,29755000,7549000
40,28978000,6883000
40,29071000,6913000
40,28845000,7394000
40,29722000,7146000
40,28686000,6787000
40,28542000,6768000
40,30572000,6824000
40,38483000,10267000
40,46175000,11047000
40,41482000,8362000
40,37273000,8353000
40,35506000,8340000
40,35059000,8486000
40,36517000,8400000
40,36273000,9215000
40,36385000,8397000
50,35680000,8421000
50,34905000,8400000
50,34905000,7859000
50,34875000,8024000
50,34968000,10193000
50,43066000,8313000
50,32559000,7098000
50,28718000,6806000
50,30197000,7168000
50,31835000,7037000
50,36307000,8569000
50,29944000,6791000
50,28971000,6942000
50,34543000,7793000
50,35343000,8484000
50,30055000,6804000
50,28762000,6991000
50,29718000,6982000
50,36320000,8518000
50,35511000,8253000
50,34561000,8594000
50,36578000,8395000
50,34089000,8210000
50,33708000,7794000
50,38151000,9372000
50,30149000,7118000
50,29736000,6680000
50,28067000,6676000
50,28254000,6963000
50,28951000,6760000
50,28332000,6664000
50,30156000,6788000
50,32930000,6735000
50,30252000,7072000
50,35582000,8593000
50,32615000,6989000
50,34943000,8373000
50,40896000,8573000
50,35486000,8354000
50,32551000,7061000
50,29847000,6835000
50,32408000,7081000
50,29268000,6749000
50,27979000,6643000
50,28194000,6640000
50,28297000,6643000
50,29167000,6662000
50,32059000,7098000
50,28604000,6770000
50,30018000,6772000
50,28015000,6629000
50,30138000,7015000
50,29323000,6913000
50,29227000,6642000
50,29792000,6788000
50,29763000,6822000
50,28886000,6829000
50,28125000,6657000
50,28497000,6945000
50,28506000,6913000
50,28127000,6616000
50,28725000,6668000
50,30229000,6797000
50,32584000,6812000
50,28757000,6797000
50,29341000,6821000
50,29976000,6715000
50,28470000,6801000
50,29692000,7360000
50,28682000,6676000
50,29548000,6637000
50,29437000,6781000
50,28410000,7345000
50,31726000,6644000
50,28142000,6659000
50,32158000,6825000
50,28689000,7019000
50,31798000,6640000
50,29699000,6795000
50,28691000,6639000
50,27983000,6897000
50,29738000,6671000
50,28382000,7623000
50,36640000,8530000
50,35633000,8844000
50,38683000,8942000
50,36653000,9068000
50,36344000,8607000
50,37357000,10245000
50,38225000,8694000
50,36325000,8563000
50,37036000,9932000
50,38606000,8870000
50,37861000,8852000
50,35731000,8519000
50,36571000,8817000
50,36084000,7418000
50,35073000,6995000
50,32521000,7042000
50,32343000,7424000
60,32967000,9159000
60,33111000,7453000
60,31727000,7278000
60,32614000,7184000
60,36457000,8676000
60,36665000,8548000
60,36615000,8453000
60,33295000,7531000
60,31506000,7578000
60,33989000,6866000
60,41528000,9306000
60,60579000,10814000
60,36273000,8945000
60,36903000,8723000
60,36063000,8560000
60,35406000,9505000
60,36464000,9202000
60,39095000,8791000
60,36891000,9323000
60,36763000,9038000
60,38390000,8478000
60,42599000,8996000
60,35617000,7655000
60,37415000,8426000
60,37361000,8482000
60,36323000,8670000
60,36109000,8420000
60,36509000,8586000
60,37687000,8353000
60,33015000,8261000
60,32145000,7742000
60,32620000,8601000
60,33704000,7766000
60,34158000,9022000
60,33503000,8249000
60,34281000,8157000
60,31404000,7257000
60,30600000,7961000
60,31254000,7341000
60,30971000,6843000
60,31436000,7123000
60,32139000,6977000
60,32702000,6917000
60,28687000,6872000
60,28973000,6747000
60,31032000,7254000
60,33072000,7238000
60,34102000,7332000
60,37016000,8467000
60,36421000,8487000
60,38206000,8496000
60,36072000,8615000
60,38200000,9072000
60,39214000,10698000
60,35907000,8428000
60,39663000,11335000
60,39932000,9210000
60,33923000,7225000
60,31748000,6988000
60,34297000,8658000
60,36465000,8370000
60,39079000,8347000
60,34889000,7487000
60,30061000,6901000
60,32083000,7402000
60,31416000,6979000
60,31899000,6936000
60,36194000,8525000
60,35122000,7989000
60,33901000,7042000
60,30156000,7200000
60,28866000,6965000
60,30644000,6896000
60,29260000,6933000
60,30579000,6895000
60,28832000,6838000
60,30744000,6835000
60,28900000,7289000
60,28056000,6714000
60,28895000,7164000
60,31274000,6966000
60,29102000,6952000
60,29259000,6902000
60,31548000,6876000
60,28773000,6788000
60,34855000,8325000
60,34497000,7007000
60,34409000,7024000
60,30580000,6727000
60,31620000,7213000
60,29920000,6927000
60,28550000,8220000
60,29153000,6937000
60,30322000,6896000
60,30565000,6817000
60,29504000,7200000
60,28602000,6726000
60,28962000,6857000
60,30087000,6839000
60,29097000,6866000
70,27731000,5885000
70,28707000,5824000
70,29407000,6557000
70,27994000,5916000
70,28607000,5871000
70,28033000,6068000
70,28236000,5701000
70,29107000,7606000
70,30403000,5982000
70,27819000,5936000
70,27259000,5751000
70,27627000,5927000
70,27980000,5894000
70,27623000,5785000
70,27437000,5881000
70,32157000,5886000
70,27340000,5708000
70,30801000,5945000
70,28922000,6166000
70,28274000,5898000
70,27968000,6019000
70,29841000,5896000
70,29510000,5843000
70,28468000,5834000
70,27696000,5792000
70,27750000,6014000
70,27875000,6018000
70,27993000,5962000
70,29163000,5929000
70,29698000,6002000
70,27990000,5834000
70,27965000,7407000
70,27978000,5895000
70,27884000,5894000
70,28062000,5752000
70,28212000,5800000
70,27791000,5984000
70,27920000,5935000
70,27953000,5986000
70,27987000,5807000
70,28321000,5852000
70,31995000,5898000
70,28302000,5841000
70,27979000,5884000
70,28877000,6063000
70,34002000,7073000
70,28673000,5903000
70,30609000,5902000
70,28059000,5828000
70,28530000,6394000
70,27554000,5959000
70,28469000,5799000
70,28040000,5841000
70,27823000,5782000
70,27647000,5755000
70,30385000,6212000
70,28930000,6106000
70,30221000,5883000
70,31075000,5922000
70,27691000,6015000
70,28403000,6080000
70,29547000,5728000
70,28151000,5899000
70,29573000,5729000
70,27544000,5787000
70,29750000,5933000
70,27998000,5724000
70,28357000,6188000
70,27989000,6076000
70,31043000,5942000
70,29802000,5830000
70,27361000,5838000
70,28534000,5853000
70,27751000,5832000
70,28478000,5786000
70,34664000,8538000
70,36187000,6399000
70,27837000,5939000
70,27882000,5824000
70,27713000,5786000
70,27992000,5858000
70,28192000,5886000
70,28174000,5821000
70,28329000,5931000
70,27892000,5817000
70,28187000,5803000
70,27755000,5826000
70,28628000,5791000
70,27990000,5736000
70,28277000,5933000
70,28388000,5907000
70,30663000,6065000
70,29133000,6060000
70,31175000,5951000
70,30054000,5836000
70,28184000,5860000
70,28261000,5858000
70,28096000,5746000
70,27162000,5735000
70,28607000,6005000
80,31679000,7460000
80,30435000,7120000
80,29811000,7156000
80,29651000,6788000
80,35112000,8131000
80,30554000,7028000
80,30264000,7025000
80,32285000,7127000
80,30861000,6899000
80,29556000,6839000
80,32239000,6787000
80,29320000,6907000
80,32316000,7037000
80,29491000,7249000
80,31609000,7050000
80,31340000,7178000
80,30546000,7103000
80,29799000,7145000
80,31214000,6984000
80,29194000,6960000
80,29210000,6902000
80,30004000,6945000
80,29710000,6913000
80,28870000,7261000
80,28790000,6847000
80,29156000,6859000
80,29274000,6874000
