Pallet: "balances", Extrinsic: "set_balance", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
u,e,extrinsic_time,storage_root_time
1000,590,530000,195000
1000,590,384000,146000
1000,590,152000,106000
1000,590,150000,108000
1000,590,155000,105000
1000,590,149000,107000
1000,590,156000,108000
1000,590,292000,107000
1000,590,363000,108000
1000,639,152000,111000
1000,639,148000,105000
1000,639,148000,107000
1000,639,363000,109000
1000,639,148000,105000
1000,639,353000,109000
1000,639,339000,106000
1000,639,147000,104000
1000,639,157000,109000
1000,639,158000,111000
1000,639,329000,119000
1000,639,343000,107000
1000,639,349000,110000
1000,639,147000,109000
1000,639,362000,109000
1000,639,360000,111000
1000,639,145000,107000
1000,639,307000,107000
1000,639,360000,108000
1000,639,147000,105000
1000,688,341000,106000
1000,688,406000,128000
1000,688,153000,107000
1000,688,324000,108000
1000,688,149000,110000
1000,688,355000,106000
1000,688,361000,111000
1000,688,294000,105000
1000,688,300000,105000
1000,688,149000,106000
1000,688,147000,105000
1000,688,147000,104000
1000,688,149000,104000
1000,688,342000,105000
1000,688,364000,107000
1000,688,5687000,109000
1000,688,290000,107000
1000,688,340000,108000
1000,688,371000,112000
1000,688,151000,108000
1000,737,376000,122000
1000,737,322000,92000
1000,737,148000,104000
1000,737,328000,107000
1000,737,149000,106000
1000,737,146000,106000
1000,737,358000,106000
1000,737,151000,108000
1000,737,364000,111000
1000,737,152000,106000
1000,737,7566000,110000
1000,737,360000,108000
1000,737,223000,141000
1000,737,348000,102000
1000,737,146000,106000
1000,737,148000,106000
1000,737,145000,105000
1000,737,148000,105000
1000,737,387000,114000
1000,737,360000,108000
1000,786,365000,110000
1000,786,158000,113000
1000,786,371000,107000
1000,786,152000,107000
1000,786,365000,113000
1000,786,342000,112000
1000,786,150000,107000
1000,786,358000,111000
1000,786,303000,106000
1000,786,149000,104000
1000,786,475000,171000
1000,786,150000,105000
1000,786,150000,106000
1000,786,6941000,109000
1000,786,378000,9839000
1000,786,153000,110000
1000,786,369000,105000
1000,786,373000,107000
1000,786,150000,106000
1000,786,150000,105000
1000,835,369000,109000
1000,835,143000,104000
1000,835,365000,123000
1000,835,302000,110000
1000,835,371000,107000
1000,835,150000,105000
1000,835,451000,131000
1000,835,363000,109000
1000,835,322000,116000
1000,835,367000,106000
1000,835,146000,105000
1000,835,338000,104000
1000,835,146000,104000
1000,835,147000,105000
1000,835,149000,105000
1000,835,154000,110000
1000,835,361000,108000
1000,835,309000,105000
1000,835,301000,113000
1000,835,152000,107000
1000,884,419000,129000
1000,884,350000,123000
1000,884,366000,111000
1000,884,350000,109000
1000,884,379000,115000
1000,884,361000,108000
1000,884,351000,106000
1000,884,147000,105000
1000,884,148000,106000
1000,884,156000,112000
1000,884,152000,105000
1000,884,10550000,140000
1000,884,300000,108000
1000,884,149000,110000
1000,884,381000,110000
1000,884,146000,108000
1000,884,149000,107000
1000,884,149000,109000
1000,884,150000,107000
1000,884,146000,106000
1000,933,343000,105000
1000,933,355000,104000
1000,933,568000,149000
1000,933,402000,125000
1000,933,18900000,117000
1000,933,154000,109000
1000,933,155000,112000
1000,933,379000,112000
1000,933,541000,170000
1000,933,154000,108000
1000,933,151000,105000
1000,933,368000,107000
1000,933,365000,108000
1000,933,363000,108000
1000,933,361000,107000
1000,933,365000,110000
1000,933,389000,115000
1000,933,446000,145000
1000,933,154000,108000
1000,933,10925000,121000
1000,982,344000,110000
1000,982,371000,108000
1000,982,350000,104000
1000,982,148000,104000
1000,982,359000,108000
1000,982,339000,106000
1000,982,364000,107000
1000,982,147000,106000
1000,982,364000,105000
1000,982,348000,107000
